section_id,roadbed,begin_marker,begin_disp,district,county,pavtype,begin_dfo,end_dfo,n_years,lon,lat
FM0076 L|346|0.0,FM0076 L,346,0.0,24 - EL PASO,72 - EL PASO,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),2.004,2.504,18,-106.368244,31.746756
FM0076 L|346|0.5,FM0076 L,346,0.5,24 - EL PASO,72 - EL PASO,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),2.504,2.904,18,-106.364316,31.741675
FM0076 L|346|0.9,FM0076 L,346,0.9,24 - EL PASO,72 - EL PASO,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),2.904,3.404,10,-106.360013,31.736534
FM0076 L|346|1.4,FM0076 L,346,1.4,24 - EL PASO,72 - EL PASO,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),3.404,3.904,11,-106.35293,31.731529
FM0076 L|346|1.9,FM0076 L,346,1.9,24 - EL PASO,72 - EL PASO,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),3.904,3.967,12,-106.349123,31.729332
FM0076 L|348|0.0,FM0076 L,348,0.0,24 - EL PASO,72 - EL PASO,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),3.967,4.467,24,-106.345362,31.727251
FM0076 L|348|0.5,FM0076 L,348,0.5,24 - EL PASO,72 - EL PASO,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),4.467,4.967,24,-106.339833,31.724108
FM0076 L|348|1.0,FM0076 L,348,1.0,24 - EL PASO,72 - EL PASO,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),4.967,5.467,20,-106.330299,31.719694
FM0076 L|348|1.5,FM0076 L,348,1.5,24 - EL PASO,72 - EL PASO,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),5.467,6.01,20,-106.325011,31.713952
FM0076 L|350|0.0,FM0076 L,350,0.0,24 - EL PASO,72 - EL PASO,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),6.01,6.41,20,-106.319761,31.707604
